days_frm_peak,Date0,Close0,close_dv_pk0,Date1,Close1,close_dv_pk1,Date2,Close2,close_dv_pk2,Date3,Close3,close_dv_pk3,Date4,Close4,close_dv_pk4,Date5,Close5,close_dv_pk5,Date6,Close6,close_dv_pk6,Date7,Close7,close_dv_pk7,Date8,Close8,close_dv_pk8,Date9,Close9,close_dv_pk9,Date10,Close10,close_dv_pk10,Date11,Close11,close_dv_pk11,Date12,Close12,close_dv_pk12,Date13,Close13,close_dv_pk13,Date14,Close14,close_dv_pk14
-91,1929-06-04,310.6,0.8147953830010494,1936-12-09,181.2,0.9320987654320987,1944-12-06,148.8,0.9213622291021673,,,,1953-02-09,282.0,1.011477761836442,1957-04-12,486.7,0.9345238095238095,1959-10-06,636.1,0.9279358132749818,1969-08-11,819.8,0.9498320009268914,1973-07-27,936.7,0.9489413433289434,1979-11-14,816.6,0.9035184775392787,1981-03-16,1002.8,0.9909090909090909,1991-05-29,2969.6,0.9719821942916994,2000-11-02,10880.5,0.9906132779780764,2007-07-10,13501.7,0.9532069610646334,2019-11-13,27783.59,0.9401778324019625
-90,1929-06-05,307.7,0.8071878279118573,1936-12-10,182.2,0.9372427983539093,1944-12-07,149.2,0.9238390092879256,,,,1953-02-10,281.7,1.0104017216642753,,,,1959-10-07,635.4,0.9269146608315099,1969-08-12,813.0,0.9419534237052485,,,,1979-11-15,821.3,0.9087187430847533,1981-03-17,992.5,0.9807312252964426,1991-05-30,3000.5,0.982096098455093,2000-11-03,10818.0,0.9849229760734185,2007-07-11,13577.9,0.9585866073634791,2019-11-14,27781.96,0.9401226743080366
-89,1929-06-06,307.7,0.8071878279118573,1936-12-11,181.1,0.9315843621399177,1944-12-08,150.5,0.9318885448916409,1948-07-26,184.2,0.9684542586750788,1953-02-11,281.6,1.0100430416068866,,,,1959-10-08,633.0,0.9234135667396062,1969-08-13,809.1,0.9374348279457768,,,,1979-11-16,815.7,0.9025226820092942,1981-03-18,994.1,0.9823122529644269,1991-05-31,3027.5,0.9909334904425243,,,,2007-07-12,13861.7,0.9786226128702037,2019-11-15,28004.89,0.9476664742337255
-88,1929-06-07,307.5,0.8066631689401889,1936-12-12,180.9,0.9305555555555556,1944-12-09,151.3,0.9368421052631579,1948-07-27,186.1,0.9784437434279706,,,,1957-04-15,485.8,0.9327956989247312,1959-10-09,637.0,0.9292487235594457,1969-08-14,813.2,0.9421851465647086,1973-07-30,933.8,0.9460034444331881,,,,1981-03-19,986.6,0.974901185770751,,,,,,,2007-07-13,13907.2,0.9818348688622967,,,
-87,1929-06-08,305.1,0.800367261280168,,,,,,,1948-07-28,185.2,0.9737118822292324,1953-02-13,283.1,1.0154232424677188,1957-04-16,484.3,0.9299155145929341,,,,1969-08-15,820.9,0.9511064766539219,1973-07-31,926.4,0.9385067369060885,,,,1981-03-20,992.8,0.9810276679841897,,,,2000-11-06,10977.2,0.9994173130849631,,,,,,
-86,,,,1936-12-14,181.9,0.9356995884773662,1944-12-11,151.6,0.9386996904024767,1948-07-29,183.6,0.9652996845425867,,,,1957-04-17,485.0,0.9312596006144394,,,,,,,1973-08-01,912.2,0.9241211630027353,1979-11-19,815.3,0.9020801062181899,,,,1991-06-03,3035.3,0.9934865147944489,2000-11-07,10952.2,0.9971411923231,,,,2019-11-18,28036.22,0.948726660174029
-85,1929-06-10,303.3,0.7956453305351522,1936-12-15,182.0,0.9362139917695473,1944-12-12,151.2,0.9362229102167182,1948-07-30,181.3,0.9532071503680337,,,,1957-04-18,488.0,0.9370199692780339,1959-10-12,638.6,0.9315827862873816,,,,1973-08-02,910.1,0.9219937189747746,1979-11-20,809.2,0.8953308254038504,,,,1991-06-04,3028.0,0.9910971458496989,2000-11-08,10907.1,0.9930350704686988,2007-07-16,13951.0,0.984927106498641,2019-11-19,27934.02,0.9452682815242043
-84,1929-06-11,306.6,0.8043022035676811,1936-12-16,181.6,0.934156378600823,1944-12-13,150.6,0.9325077399380804,,,,1953-02-16,282.2,1.0121951219512195,,,,1959-10-13,637.8,0.9304157549234136,1969-08-18,827.7,0.9589850538755649,1973-08-03,908.9,0.9207780366730828,1979-11-21,807.4,0.8933392343438814,1981-03-23,1004.2,0.9922924901185771,1991-06-05,3005.4,0.9836999214454046,2000-11-09,10834.2,0.9863979023271059,2007-07-17,13971.5,0.9863743866709026,2019-11-20,27821.09,0.9414468069554696
-83,1929-06-12,306.7,0.8045645330535152,1936-12-17,180.8,0.9300411522633745,1944-12-14,150.8,0.9337461300309599,,,,1953-02-17,281.5,1.0096843615494977,,,,1959-10-14,634.3,0.925309992706054,1969-08-19,833.7,0.9659367396593674,,,,,,,1981-03-24,996.1,0.9842885375494071,1991-06-06,2994.9,0.980263157894737,2000-11-10,10603.0,0.9653483375213955,2007-07-18,13918.2,0.9826114582230224,2019-11-21,27766.29,0.9395924121412779
-82,1929-06-13,313.1,0.8213536201469046,1936-12-18,179.4,0.9228395061728395,1944-12-15,152.3,0.9430340557275543,1948-08-02,181.1,0.952155625657203,1953-02-18,281.1,1.0082496413199427,,,,1959-10-15,637.5,0.9299781181619255,1969-08-20,833.2,0.9653574325107173,,,,1979-11-23,811.8,0.8982075680460279,1981-03-25,1015.2,1.0031620553359684,1991-06-07,2976.7,0.9743061010735795,,,,2007-07-19,14000.4,0.9884146987186275,2019-11-22,27875.62,0.9432920651528759
