days_frm_peak,Date0,Close0,close_dv_pk0,Date1,Close1,close_dv_pk1,Date2,Close2,close_dv_pk2,Date3,Close3,close_dv_pk3,Date4,Close4,close_dv_pk4,Date5,Close5,close_dv_pk5,Date6,Close6,close_dv_pk6,Date7,Close7,close_dv_pk7,Date8,Close8,close_dv_pk8,Date9,Close9,close_dv_pk9,Date10,Close10,close_dv_pk10,Date11,Close11,close_dv_pk11,Date12,Close12,close_dv_pk12,Date13,Close13,close_dv_pk13,Date14,Close14,close_dv_pk14
-243,1929-01-03,305.7,0.8019412381951732,1936-07-10,160.1,0.823559670781893,1944-07-07,149.4,0.925077399380805,1948-02-23,167.8,0.8822292323869612,1952-09-10,271.7,0.9745337159253945,,,,1959-05-07,615.6,0.8980306345733042,1969-03-12,917.5,1.0630286177731434,,,,1979-06-15,843.3,0.9330604115954857,1980-10-15,972.4,0.9608695652173913,1990-12-28,2629.2,0.8605655930871956,,,,2007-02-08,12637.6,0.8922023368279854,2019-06-14,26089.61,0.8828546986912982
-242,1929-01-04,304.8,0.7995802728226653,1936-07-11,160.7,0.8266460905349794,1944-07-08,150.0,0.9287925696594427,1948-02-24,167.8,0.8822292323869612,1952-09-11,272.1,0.9759684361549499,1956-11-12,487.1,0.9352918586789556,1959-05-08,621.4,0.9064916119620714,1969-03-13,907.1,1.0509790290812189,1973-02-26,953.8,0.9662648161280518,,,,1980-10-16,958.7,0.9473320158102767,,,,,,,2007-02-09,12580.8,0.8881923117653288,,,
-241,1929-01-05,302.4,0.7932843651626442,,,,,,,1948-02-25,168.4,0.8853838065194533,1952-09-12,271.0,0.9720229555236728,1956-11-13,486.7,0.9345238095238095,,,,1969-03-14,904.3,1.0477349090487775,1973-02-27,947.9,0.960287711478067,,,,1980-10-17,956.1,0.9447628458498024,,,,2000-06-05,10815.3,0.9846771550311373,,,,,,
-240,,,,1936-07-13,161.4,0.8302469135802469,1944-07-10,150.5,0.9318885448916409,1948-02-26,167.6,0.8811777076761305,,,,1956-11-14,482.4,0.9262672811059908,,,,,,,1973-02-28,955.1,0.967581805288218,1979-06-18,839.4,0.9287452976322196,,,,1990-12-31,2633.7,0.8620384917517675,2000-06-06,10735.6,0.9774208820423176,,,,2019-06-17,26112.53,0.8836302959384016
-239,1929-01-07,297.7,0.7809548793284365,1936-07-14,162.8,0.8374485596707819,1944-07-11,150.2,0.9300309597523219,1948-02-27,166.8,0.8769716088328077,,,,1956-11-15,480.2,0.9220430107526882,1959-05-11,625.0,0.9117432530999271,,,,1973-03-01,949.7,0.9621112349306048,1979-06-19,839.4,0.9287452976322196,,,,,,,2000-06-07,10812.9,0.9844586474379984,2007-02-12,12552.5,0.8861943591372798,2019-06-18,26465.54,0.8955759147952959
-238,1929-01-08,297.0,0.7791185729275971,1936-07-15,163.2,0.8395061728395061,1944-07-12,150.4,0.9312693498452013,1948-02-28,167.3,0.8796004206098844,1952-09-15,268.4,0.9626972740315637,1956-11-16,480.7,0.9230030721966206,1959-05-12,627.7,0.9156819839533188,1969-03-17,904.0,1.0473873247595875,1973-03-02,961.3,0.9738628305136257,1979-06-20,839.8,0.9291878734233238,1980-10-20,960.8,0.9494071146245059,1991-01-02,2610.6,0.8544776119402985,2000-06-08,10668.7,0.9713299828835719,2007-02-13,12654.8,0.8934166401920293,2019-06-19,26504.0,0.8968773750973728
-237,1929-01-09,300.8,0.7890870933892971,1936-07-16,163.6,0.8415637860082305,1944-07-13,150.1,0.9294117647058823,,,,1952-09-16,269.0,0.9648493543758967,,,,1959-05-13,633.1,0.9235594456601022,1969-03-18,907.4,1.051326613370409,,,,1979-06-21,843.6,0.9333923434388139,1980-10-21,954.4,0.9430830039525692,1991-01-03,2573.5,0.8423343807279393,2000-06-09,10614.1,0.9663589351396628,2007-02-14,12741.9,0.8995658159483215,2019-06-20,26753.17,0.9053091188173021
-236,1929-01-10,301.6,0.7911857292759708,1936-07-17,163.6,0.8415637860082305,1944-07-14,150.3,0.9306501547987617,1948-03-01,168.1,0.8838065194532072,1952-09-17,270.4,0.9698708751793399,,,,1959-05-14,637.0,0.9292487235594457,1969-03-19,912.1,1.056772100567721,,,,1979-06-22,849.1,0.9394777605664971,1980-10-22,955.1,0.9437747035573123,1991-01-04,2566.1,0.8399122807017544,,,,2007-02-15,12765.0,0.9011966536058456,2019-06-21,26719.13,0.9041572283159321
-235,1929-01-11,301.7,0.7914480587618048,1936-07-18,164.4,0.845679012345679,1944-07-15,150.5,0.9318885448916409,1948-03-02,168.8,0.8874868559411148,1952-09-18,269.7,0.9673601147776183,1956-11-19,474.6,0.9112903225806452,1959-05-15,634.5,0.925601750547046,1969-03-20,920.1,1.0660410149461244,1973-03-05,966.9,0.9795360145881876,,,,1980-10-23,939.5,0.9283596837944664,,,,,,,2007-02-16,12767.6,0.9013802110911081,,,
-234,1929-01-12,301.3,0.7903987408184681,,,,,,,1948-03-03,168.6,0.886435331230284,1952-09-19,270.6,0.9705882352941176,1956-11-20,470.1,0.9026497695852536,,,,1969-03-21,920.0,1.0659251535163943,1973-03-06,979.0,0.9917941444635802,,,,1980-10-24,943.6,0.932411067193676,,,,2000-06-12,10564.2,0.961815798098984,,,,,,
-233,,,,1936-07-20,164.4,0.845679012345679,1944-07-17,149.3,0.9244582043343654,1948-03-04,168.1,0.8838065194532072,,,,1956-11-21,467.9,0.8984254992319509,,,,,,,1973-03-07,980.0,0.9928072130483233,1979-06-25,844.3,0.9341668510732463,,,,1991-01-07,2522.8,0.8257397224404296,2000-06-13,10621.8,0.9670599803343165,,,,2019-06-24,26727.54,0.904441817009132
-232,1929-01-14,304.1,0.7977439664218259,1936-07-21,165.2,0.8497942386831275,1944-07-18,148.1,0.9170278637770898,1948-03-05,168.4,0.8853838065194533,,,,,,,1959-05-18,633.5,0.9241429613420861,,,,1973-03-08,976.4,0.9891601661432479,1979-06-26,837.7,0.9268643505200267,,,,1991-01-08,2509.4,0.8213537575281488,2000-06-14,10688.0,0.9730871481117301,,,,2019-06-25,26548.22,0.8983737498908683
-231,1929-01-15,297.7,0.7809548793284365,1936-07-22,164.5,0.8461934156378601,1944-07-19,149.0,0.9226006191950464,1948-03-06,168.9,0.88801261829653,1952-09-22,270.8,0.9713055954088953,1956-11-23,472.6,0.9074500768049156,1959-05-19,635.4,0.9269146608315099,1969-03-24,917.1,1.062565172054223,1973-03-09,972.2,0.9849052780873265,1979-06-27,840.5,0.9299623810577562,1980-10-27,931.7,0.9206521739130435,1991-01-09,2470.3,0.8085559046870909,2000-06-15,10714.8,0.9755271495684474,2007-02-20,12786.6,0.9027215927141798,2019-06-26,26536.82,0.8979879816266021
-230,1929-01-16,302.7,0.7940713536201469,1936-07-23,164.6,0.8467078189300411,1944-07-20,148.3,0.9182662538699691,,,,1952-09-23,271.7,0.9745337159253945,,,,1959-05-20,631.9,0.9218088986141503,1969-03-25,917.1,1.062565172054223,,,,1979-06-28,843.0,0.9327284797521576,1980-10-28,932.6,0.9215415019762846,1991-01-10,2498.8,0.8178842628960462,2000-06-16,10449.3,0.9513547470774608,2007-02-21,12738.4,0.8993187193335451,2019-06-27,26526.58,0.8976414669751912
-229,1929-01-17,304.0,0.7974816369359916,1936-07-24,164.4,0.845679012345679,1944-07-21,146.8,0.9089783281733747,1948-03-08,167.7,0.8817034700315457,1952-09-24,272.3,0.9766857962697274,,,,1959-05-21,631.7,0.9215171407731584,1969-03-26,923.3,1.0697485806974858,,,,1979-06-29,842.0,0.931622040274397,1980-10-29,929.2,0.9181818181818182,1991-01-11,2501.5,0.8187680020947893,,,,2007-02-22,12686.0,0.8956193300151788,2019-06-28,26599.96,0.9001245963814937
-228,1929-01-18,304.1,0.7977439664218259,1936-07-25,165.6,0.8518518518518517,1944-07-22,145.6,0.901547987616099,1948-03-09,166.8,0.8769716088328077,1952-09-25,272.4,0.9770444763271161,1956-11-26,470.3,0.9030337941628265,1959-05-22,634.7,0.925893508388038,1969-03-27,930.9,1.078554049356969,1973-03-12,969.8,0.9824739134839428,,,,1980-10-30,917.8,0.9069169960474308,,,,,,,2007-02-23,12647.5,0.8929012672526386,,,
-227,1929-01-19,306.0,0.8027282266526757,,,,,,,1948-03-10,167.5,0.8806519453207151,1952-09-26,272.0,0.975609756097561,1956-11-27,470.2,0.90284178187404,,,,1969-03-28,935.5,1.083883675124551,1973-03-13,976.1,0.9888562455678249,,,,1980-10-31,924.5,0.9135375494071146,,,,2000-06-19,10557.8,0.9612331111839468,,,,,,
-226,,,,1936-07-27,166.9,0.8585390946502057,1944-07-24,145.8,0.9027863777089784,1948-03-11,167.2,0.879074658254469,,,,1956-11-28,466.1,0.8949692780337943,,,,,,,1973-03-14,978.9,0.9916928376051058,1979-07-02,834.0,0.9227705244523126,,,,1991-01-14,2483.9,0.8130073317622415,2000-06-20,10435.2,0.9500710149677701,,,,2019-07-01,26717.43,0.9040997014695065
